token	lemma	POS	morph	treated
sergent	serjant	NOMcom	NOMB.=s|GENRE=m|CAS=r	sergent
.	.	PONfrt	MORPH=empty	.
Mout	mout	ADVgen	DEGRE=-	Mout
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
haste	haster	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	haste
,	,	PONfbl	MORPH=empty	,
mout	mout	ADVgen	DEGRE=-	mout
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
an	en1	PRE	MORPH=empty	an
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
D'	de	PRE	MORPH=empty	D
aconsivre	aconsivre	VERinf	MORPH=empty	aconsivre
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
qu'	que2	PROrel	GENRE=n|CAS=r	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
chace	chacier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	chace
;	;	PONfbl	MORPH=empty	;
Mout	mout	ADVgen	DEGRE=-	Mout
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
porquiert	porquerre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	porquiert
,	,	PONfbl	MORPH=empty	,
mout	mout	ADVgen	DEGRE=-	mout
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
porchace	porchacier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	porchace
,	,	PONfbl	MORPH=empty	,
Mes	mais1	CONcoo	MORPH=empty	Mes
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	ce
n'	ne1	ADVneg	MORPH=empty	n
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	iert
ja	ja	ADVgen	DEGRE=-	ja
mie	mie	ADVneg	MORPH=empty	mie
si	si	ADVgen	DEGRE=-	si
tost	tost1	ADVgen	DEGRE=-	tost
!	!	PONfrt	MORPH=empty	!
N'	ne1	ADVneg	MORPH=empty	N
estuet	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	estuet
pas	pas	ADVneg	MORPH=empty	pas
qu'	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
repost	repos	VERcjg	TEMPS=pst|PERS.=3|NOMB.=s	repost
Ne	ne1	CONcoo	MORPH=empty	Ne
demort	demorer	VERcjg	TEMPS=pst|PERS.=3|NOMB.=s	demort
an	en1	PRE	MORPH=empty	an
.	.	PONfrt	MORPH=empty	.
i	i2	PROadv	MORPH=empty	i
.	.	PONfrt	MORPH=empty	.
leu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r	leu
granmant	granment	ADVgen	GENRE=m	granmant
S'	se	CONsub	MORPH=empty	S
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
vialt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vialt
feire	faire	VERinf	MORPH=empty	feire
avenanmant	avenanment	ADVgen	MORPH=empty	avenanmant
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	Ce
qu'	que4	PROrel	NOMB.=s|GENRE=n|CAS=r	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
anpanssé	empenser	VERppe	NOMB.=s|GENRE=m|CAS=r	anpanssé
a	a3	PRE	MORPH=empty	a
faire	faire	VERinf	MORPH=empty	faire
,	,	PONfbl	MORPH=empty	,
C'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	C
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
Lancelot	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=n	Lancelot
de	de	PRE	MORPH=empty	de
prison	prison	NOMcom	NOMB.=s|GENRE=f|CAS=r	prison
traire	traire	VERinf	MORPH=empty	traire
S'	se	CONsub	MORPH=empty	S
el	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	el
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
trueve	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	trueve
et	et	CONcoo	MORPH=empty	et
feire	faire	VERinf	MORPH=empty	feire
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
puisse	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	puisse
.	.	PONfrt	MORPH=empty	.
Mes	mais1	CONcoo	MORPH=empty	Mes
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
cuit	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	cuit
qu'	que4	CONsub	MORPH=empty	qu
ainçois	ainçois	ADVgen	TEMPS=pst|DEGRE=-	ainçois
qu'	que4	CONsub	MORPH=empty	qu
el	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	el
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
truisse	trover	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	truisse
En	en2	PROadv	MORPH=empty	En
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	avra
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r	maint
païs	päis	NOMcom	NOMB.=s|GENRE=m|CAS=r	païs
cerchié	cerchier	VERppe	NOMB.=s|GENRE=m|CAS=r	cerchié
,	,	PONfbl	MORPH=empty	,
Maint	maint	DETind	NOMB.=s|GENRE=m	Maint
alé	aler	VERppe	NOMB.=s|GENRE=m|CAS=r	alé
et	et	CONcoo	MORPH=empty	et
maint	maint	PROind	NOMB.=s|GENRE=m|CAS=r	maint
reverchié	reverchier	VERppe	NOMB.=s|GENRE=m|CAS=r	reverchié
,	,	PONfbl	MORPH=empty	,
Ainz	ainz	ADVgen	DEGRE=-	Ainz
que	que4	CONsub	MORPH=empty	que
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r	nule
novele	novele	NOMcom	NOMB.=s|GENRE=f|CAS=n	novele
an	en2	PROadv	MORPH=empty	an
oie	öir	VERcjg	MODE=sub|PERS.=1|NOMB.=s|GENRE=f|CAS=r	oie
.	.	PONfrt	MORPH=empty	.
Mes	mais1	CONcoo	MORPH=empty	Mes
que	que3	PROint	GENRE=n|CAS=n	que
valdroit	valoir	VERcjg	MODE=con|PERS.=3|NOMB.=s	valdroit
se	se	CONsub	MORPH=empty	se
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
contoie	conter	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	contoie
Ne	ne2	CONcoo	MORPH=empty	Ne
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	ses
gistes	giste1	NOMcom	NOMB.=p|GENRE=f|CAS=r	gistes
ne	ne2	CONcoo	MORPH=empty	ne
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r	ses
jornees	jornee	NOMcom	NOMB.=p|GENRE=f|CAS=r	jornees
?	?	PONfrt	MORPH=empty	?
Mes	mais1	CONcoo	NOMB.=p	Mes
tantes	tant	DETind	NOMB.=p|GENRE=f|CAS=r	tantes
voies	voie	NOMcom	NOMB.=p|GENRE=f|CAS=r	voies
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3	a
tornees	torner	VERppe	NOMB.=p|GENRE=f|CAS=r	tornees
Amont	amont	ADVgen	DEGRE=-	Amont
,	,	PONfbl	MORPH=empty	,
aval	aval	ADVgen	DEGRE=-	aval
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
sus	sus	ADVgen	DEGRE=p	sus
et	et	CONcoo	MORPH=empty	et
jus	jus1	ADVgen	DEGRE=-	jus
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
passez	passer1	VERppe	NOMB.=s|GENRE=m|CAS=n	passez
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mois	mois2	NOMcom	NOMB.=s|GENRE=m|CAS=n	mois
ou	o3	CONcoo	MORPH=empty	ou
plus	plus	ADVgen	DEGRE=-	plus
,	,	PONfbl	MORPH=empty	,
C'	que1	CONsub	NOMB.=s	C
onques	onque	ADVgen	DEGRE=-	onques
plus	plus	ADVgen	DEGRE=-	plus
aprandre	aprendre	VERinf	MORPH=empty	aprandre
n'	ne1	ADVneg	MORPH=empty	n
an	en2	PROadv	MORPH=empty	an
pot	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	pot
Ne	ne2	CONcoo	MORPH=empty	Ne
moins	moins	ADVgen	DEGRE=c	moins
qu'	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
devant	devant	ADVgen	DEGRE=-	devant
an	en2	PROadv	MORPH=empty	an
sot	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	sot
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
c'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
neanz	nïent	PROind	NOMB.=s|CAS=n|DEGRE=-	neanz
tot	tot	ADVgen	NOMB.=s|GENRE=n|DEGRE=-	tot
an	en1	PRE	MORPH=empty	an
travers	travers	NOMcom	NOMB.=s|GENRE=m|CAS=r	travers
.	.	PONfrt	MORPH=empty	.
.I.	un	DETndf	NOMB.=s|GENRE=m|CAS=r	.I.
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	jor
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
an	en2	PROadv	MORPH=empty	an
aloit	aler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	aloit
a	a3	PRE	MORPH=empty	a
travers	travers	ADVgen	NOMB.=s|GENRE=m|CAS=r	travers
.I.	un	DETndf	NOMB.=s|GENRE=m|CAS=r	.I.
chanp	champ	NOMcom	NOMB.=s|GENRE=m|CAS=r	chanp
,	,	PONfbl	MORPH=empty	,
mout	mout	ADVgen	DEGRE=-	mout
dolante	dolent	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	dolante
et	et	CONcoo	MORPH=empty	et
pansive	pensif	ADJqua	NOMB.=s|GENRE=f|CAS=r	pansive
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vit
bien	bien1	ADVgen	DEGRE=p	bien
loing	loing	ADVgen	DEGRE=-	loing
,	,	PONfbl	MORPH=empty	,
lez	lez	PRE	MORPH=empty	lez
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
rive	rive	NOMcom	NOMB.=s|GENRE=f|CAS=r	rive
,	,	PONfbl	MORPH=empty	,
Pres	près	ADVgen	DEGRE=-	Pres
d'	de	PRE	MORPH=empty	d
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
braz	braz	NOMcom	NOMB.=s|GENRE=m|CAS=r	braz
de	de	PRE	MORPH=empty	de
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=r	mer
,	,	PONfbl	MORPH=empty	,
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
tor	tor2	NOMcom	NOMB.=s|GENRE=f|CAS=r	tor
,	,	PONfbl	MORPH=empty	,
Mes	mais1	CONcoo	MORPH=empty	Mes
n'	ne1	ADVneg	MORPH=empty	n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
,	,	PONfbl	MORPH=empty	,
d'	de	PRE	MORPH=empty	d
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
liue	lieue	NOMcom	NOMB.=s|GENRE=f|CAS=r	liue
antor	entor	PRE	MORPH=empty	antor
,	,	PONfbl	MORPH=empty	,
Meison	maison	NOMcom	NOMB.=s|GENRE=f|CAS=r	Meison
ne	ne2	CONcoo	MORPH=empty	ne
buiron	buiron1	NOMcom	NOMB.=s|GENRE=m|CAS=r	buiron
ne	ne2	CONcoo	MORPH=empty	ne
repeire	repairier	NOMcom	MODE=ind|TEMPS=pst|NOMB.=s	repeire
.	.	PONfrt	MORPH=empty	.
Meleaganz	Meleagant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Meleaganz
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
feite	faire	VERppe	NOMB.=s|GENRE=f|CAS=r	feite
feire	faire	VERinf	MORPH=empty	feire
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
Lancelot	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=r	Lancelot
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r	mis
i	i2	PROadv	MORPH=empty	i
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
,	,	PONfbl	MORPH=empty	,
Mes	mais1	ADVgen	MORPH=empty	Mes
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
neant	nïent	PROind	NOMB.=s|GENRE=n|CAS=r	neant
n'	ne1	ADVneg	MORPH=empty	n
an	en2	PROadv	MORPH=empty	an
savoit	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	savoit
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
si	si	ADVgen	DEGRE=-	si
tost	tost1	ADVgen	DEGRE=p	tost
com	come1	CONsub	MORPH=empty	com
el	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	el
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	l
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
veüe	vëoir	VERppe	NOMB.=s|GENRE=f|CAS=r	veüe
,	,	PONfbl	MORPH=empty	,
S'	si	ADVgen	PERS.=3|GENRE=m|DEGRE=-	S
i	i2	PROadv	MORPH=empty	i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
si	si	ADVgen	DEGRE=-	si
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=r	mise
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
veüe	veüe	NOMcom	NOMB.=s|GENRE=f|CAS=r	veüe
Qu'	que4	CONsub	GENRE=f	Qu
aillors	aillors	ADVgen	DEGRE=-	aillors
ne	ne1	ADVneg	MORPH=empty	ne
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	la
torne	torner	VERcjg	MODE=ind|PERS.=3|NOMB.=s	torne
ne	ne1	CONcoo	MORPH=empty	ne
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	met
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	ses
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n	cuers
tres	très	ADVgen	DEGRE=-	tres
bien	bien1	ADVgen	DEGRE=p	bien
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
promet	prometre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	promet
Que	que4	CONsub	MORPH=empty	Que
c'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	ce
qu'	que2	PROrel	NOMB.=s|GENRE=n|CAS=r	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
tant	tant	ADVgen	DEGRE=-	tant
chacié	chacier	VERppe	NOMB.=s|GENRE=m|CAS=r	chacié
,	,	PONfbl	MORPH=empty	,
Mes	mais1	CONcoo	MORPH=empty	Mes
ore	or4	ADVgen	DEGRE=-	ore
an	en2	PROadv	MORPH=empty	an
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
venue	venir	VERppe	NOMB.=s|GENRE=f|CAS=n	venue
a	a3	PRE	MODE=ind	a
chié	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r	chié
,	,	PONfbl	MORPH=empty	,
Qu'	que4	CONcoo	MORPH=empty	Qu
a	a3	PRE	MORPH=empty	a
droite	droit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	droite
voie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r	voie
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
menee	mener	VERppe	NOMB.=s|GENRE=f|CAS=r	menee
Fortune	fortune	NOMcom	NOMB.=s|GENRE=f|CAS=r	Fortune
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
tant	tant	ADVgen	DEGRE=-	tant
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
penee	pener	VERppe	NOMB.=s|GENRE=f|CAS=r	penee
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=n	pucele
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
tor	tor2	NOMcom	NOMB.=s|GENRE=f|CAS=r	tor
aproche	aprochier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	aproche
Et	et	CONcoo	MORPH=empty	Et
tant	tant	ADVgen	DEGRE=-	tant
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
alé	aler	VERppe	NOMB.=s|GENRE=m|CAS=r	alé
,	,	PONfbl	MORPH=empty	,
qu'	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
i	i2	PROadv	MORPH=empty	i
toche	tochier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	toche
.	.	PONfrt	MORPH=empty	.
Antor	entor	ADVgen	DEGRE=-	Antor
va	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	va
,	,	PONfbl	MORPH=empty	,
oroille	oreille	NOMcom	NOMB.=s|GENRE=f|CAS=r	oroille
et	et	CONcoo	MORPH=empty	et
escote	escouter	VERcjg	MODE=ind|PERS.=3|NOMB.=s|GENRE=f|CAS=r	escote
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
s'	si	ADVgen	NOMB.=s|GENRE=m|CAS=r	s
i	i2	PROadv	MORPH=empty	i
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	met
s'	son4	DETpos	NOMB.=s|GENRE=f|CAS=r	s
antencion	entencïon	NOMcom	NOMB.=s|GENRE=f|CAS=r	antencion
tote	tot	ADVgen	NOMB.=s|GENRE=f|CAS=r	tote
Savoir	savoir	VERinf	MORPH=empty	Savoir
mon	mon2	ADVgen	PERS.=1|GENRE=m|CAS=r	mon
se	se	CONsub	MORPH=empty	se
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
i	i2	PROadv	MORPH=empty	i
oïst	öir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	oïst
Chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r	Chose
dont	dont	PROrel	NOMB.=s|GENRE=f|CAS=i	dont
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	s
esjoïst	esjöir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	esjoïst
.	.	PONfrt	MORPH=empty	.
Aval	aval	ADVgen	DEGRE=-	Aval
esgarde	esgarder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	esgarde
et	et	CONcoo	MORPH=empty	et
amont	amont	ADVgen	DEGRE=-	amont
bee	bëer	VERcjg	NOMB.=s|GENRE=f|CAS=r	bee
:	:	PONfbl	MORPH=empty	:
Si	si	ADVgen	DEGRE=-	Si
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	voit
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
tor	tor2	NOMcom	NOMB.=s|GENRE=f|CAS=r	tor
et	et	CONcoo	MORPH=empty	et
longue	lonc	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	longue
et	et	CONcoo	MORPH=empty	et
lee	lé	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	lee
,	,	PONfbl	MORPH=empty	,
Mes	mais1	CONcoo	MORPH=empty	Mes
mervoille	merveille	NOMcom	NOMB.=s|GENRE=f	mervoille
a	a3	PRE	PERS.=3	a
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
que	que2	PROrel	NOMB.=s|GENRE=n|CAS=r	que
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
estre	estre1	VERinf	MORPH=empty	estre
Qu'	que4	CONsub	MORPH=empty	Qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	voit
huis	uis	NOMcom	CAS=r	huis
ne	ne2	CONcoo	MORPH=empty	ne
fenestre	fenestre	NOMcom	NOMB.=s|GENRE=f|CAS=r	fenestre
Fors	fors1	PRE	MORPH=empty	Fors
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
petite	petit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	petite
et	et	CONcoo	MORPH=empty	et
estroite	estroit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	estroite
.	.	PONfrt	MORPH=empty	.
An	en1	PRE	MORPH=empty	An
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
tor	tor2	NOMcom	NOMB.=s|GENRE=f|CAS=r	tor
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	haute
et	et	CONcoo	MORPH=empty	et
droite	droit	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	droite
,	,	PONfbl	MORPH=empty	,
N'	ne1	ADVneg	MORPH=empty	N
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
eschiele	eschiele1	NOMcom	NOMB.=s|GENRE=f|CAS=r	eschiele
ne	ne2	CONcoo	MORPH=empty	ne
degré	degré	NOMcom	NOMB.=s|GENRE=m|CAS=r	degré
.	.	PONfrt	MORPH=empty	.
Por	por2	PRE	MORPH=empty	Por
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
croit	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	croit
que	que4	CONsub	NOMB.=s	que
c'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
fet	faire	VERppe	NOMB.=s|GENRE=m|CAS=n	fet
de	de	PRE	MORPH=empty	de
gré	gré2	NOMcom	NOMB.=s|GENRE=m|CAS=r	gré
Et	et	CONcoo	MORPH=empty	Et
que	que4	CONsub	MORPH=empty	que
Lanceloz	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=n	Lanceloz
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
dedanz	dedenz	ADVgen	MORPH=empty	dedanz
,	,	PONfbl	MORPH=empty	,
Mes	mais1	CONcoo	MORPH=empty	Mes
ainz	ainz	ADVgen	DEGRE=-	ainz
qu'	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
manjut	mangier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	manjut
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	des
danz	dent2	NOMcom	NOMB.=p|GENRE=m|CAS=r	danz
Savra	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	Savra
se	se	CONsub	MORPH=empty	se
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	ce
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
voirs	voir	ADJqua	NOMB.=s|GENRE=n|CAS=n|DEGRE=p	voirs
ou	o3	CONcoo	MORPH=empty	ou
non	non	ADVneg	MORPH=empty	non
.	.	PONfrt	MORPH=empty	.
Lors	lors	ADVgen	DEGRE=-	Lors
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
vet	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vet
apeler	apeler	VERinf	MORPH=empty	apeler
par	par	PRE	MORPH=empty	par
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	non
,	,	PONfbl	MORPH=empty	,
Apeler	apeler	VERinf	MORPH=empty	Apeler
voloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	voloit
Lancelot	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=r	Lancelot
,	,	PONfbl	MORPH=empty	,
Mes	mais1	CONcoo	MORPH=empty	Mes
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
la	il	PROper	NOMB.=s|GENRE=f|CAS=r	la
tarde	tarder	VERcjg	MODE=ind|NOMB.=s|CAS=r	tarde
que	que2	CONsub	CAS=r	que
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
ot	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
,	,	PONfbl	MORPH=empty	,
Andemantiers	endementieres	ADVgen	NOMB.=s|GENRE=m|CAS=r|DEGRE=-	Andemantiers
que	que4	CONsub	NOMB.=s	que
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
teisoit	taire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	teisoit
,	,	PONfbl	MORPH=empty	,
Une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	Une
voiz	voiz	NOMcom	NOMB.=s|GENRE=f|CAS=r	voiz
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
